Strain,PlantNumber,Branch,Week,Score
CFBP8356,5,1,3,1
CFBP8356,5,1,4,0
CFBP8356,5,1,5,0
CFBP8356,5,1,6,0
CFBP8356,5,1,7,0
CFBP8356,5,1,8,0
CFBP8356,5,1,9,0
CFBP8356,6,1,1,0
CFBP8356,6,1,2,0
CFBP8356,6,1,3,0
CFBP8356,6,1,4,0
CFBP8356,6,1,5,0
CFBP8356,6,1,6,0
CFBP8356,6,1,7,0
CFBP8356,6,1,8,0
CFBP8356,6,1,9,0
CFBP8356,7,1,1,0
CFBP8356,7,1,2,1
CFBP8356,7,1,3,1
CFBP8356,7,1,4,1
CFBP8356,7,1,5,1
CFBP8356,7,1,6,2
CFBP8356,7,1,7,2
CFBP8356,7,1,8,2
CFBP8356,7,1,9,2
CFBP8073,1,1,1,0
CFBP8073,1,1,2,0
CFBP8073,1,1,3,1
CFBP8073,1,1,4,0
CFBP8073,1,1,5,2
CFBP8073,1,1,6,2
CFBP8073,1,1,7,2
CFBP8073,1,1,8,4
CFBP8073,1,1,9,4
CFBP8073,2,1,1,1
CFBP8073,2,1,2,3
CFBP8073,2,1,3,2
CFBP8073,2,1,4,5
CFBP8073,2,1,5,5
CFBP8073,2,1,6,5
CFBP8073,2,1,7,5
CFBP8073,2,1,8,5
CFBP8073,2,1,9,7
CFBP8073,3,1,1,1
CFBP8073,3,1,2,2
CFBP8073,3,1,3,2
CFBP8073,3,1,4,5
CFBP8073,3,1,5,6
CFBP8073,3,1,6,6
CFBP8073,3,1,7,6
CFBP8073,3,1,8,6
CFBP8073,3,1,9,7
CFBP8073,4,1,1,0
CFBP8073,4,1,2,2
CFBP8073,4,1,3,2
CFBP8073,4,1,4,5
CFBP8073,4,1,5,6
CFBP8073,4,1,6,5
CFBP8073,4,1,7,5
CFBP8073,4,1,8,7
CFBP8073,4,1,9,7
CFBP8073,5,1,1,0
CFBP8073,5,1,2,1
CFBP8073,5,1,3,1
CFBP8073,5,1,4,1
CFBP8073,5,1,5,2
CFBP8073,5,1,6,2
CFBP8073,5,1,7,2
CFBP8073,5,1,8,4
CFBP8073,5,1,9,5
CFBP8073,6,1,1,0
CFBP8073,6,1,2,2
CFBP8073,6,1,3,2
CFBP8073,6,1,4,4
CFBP8073,6,1,5,5
CFBP8073,6,1,6,4
CFBP8073,6,1,7,5
CFBP8073,6,1,8,6
CFBP8073,6,1,9,6
CFBP8073,7,1,1,1
CFBP8073,7,1,2,2
CFBP8073,7,1,3,2
CFBP8073,7,1,4,3
CFBP8073,7,1,5,5
CFBP8073,7,1,6,4
CFBP8073,7,1,7,4
CFBP8073,7,1,8,6
CFBP8073,7,1,9,7
IVIA5770,1,1,1,0
IVIA5770,1,1,2,0
IVIA5770,1,1,3,0
IVIA5770,1,1,4,4
IVIA5770,1,1,5,5
IVIA5770,1,1,6,4
IVIA5770,1,1,7,4
IVIA5770,1,1,8,5
IVIA5770,1,1,9,6
IVIA5770,2,1,1,0
IVIA5770,2,1,2,0
IVIA5770,2,1,3,0
IVIA5770,2,1,4,2
IVIA5770,2,1,5,4
IVIA5770,2,1,6,4
IVIA5770,2,1,7,4
IVIA5770,2,1,8,5
IVIA5770,2,1,9,5
IVIA5770,3,1,1,0
IVIA5770,3,1,2,0
IVIA5770,3,1,3,0
IVIA5770,3,1,4,1
IVIA5770,3,1,5,3
IVIA5770,3,1,6,3
IVIA5770,3,1,7,3
IVIA5770,3,1,8,3
IVIA5770,3,1,9,5
IVIA5770,4,1,1,0
IVIA5770,4,1,2,0
IVIA5770,4,1,3,0
IVIA5770,4,1,4,0
IVIA5770,4,1,5,1
IVIA5770,4,1,6,2
IVIA5770,4,1,7,3
IVIA5770,4,1,8,4
IVIA5770,4,1,9,5
IVIA5770,5,1,1,0
IVIA5770,5,1,2,1
IVIA5770,5,1,3,1
IVIA5770,5,1,4,3
IVIA5770,5,1,5,3
IVIA5770,5,1,6,4
IVIA5770,5,1,7,4
IVIA5770,5,1,8,5
IVIA5770,5,1,9,5
IVIA5770,6,1,1,1
IVIA5770,6,1,2,3
IVIA5770,6,1,3,3
IVIA5770,6,1,4,4
IVIA5770,6,1,5,4
IVIA5770,6,1,6,5
IVIA5770,6,1,7,6
IVIA5770,6,1,8,6
IVIA5770,6,1,9,6
IVIA5770,7,1,1,0
IVIA5770,7,1,2,1
IVIA5770,7,1,3,1
IVIA5770,7,1,4,3
IVIA5770,7,1,5,4
IVIA5770,7,1,6,4
IVIA5770,7,1,7,4
IVIA5770,7,1,8,5
IVIA5770,7,1,9,6
IVIA5235,1,1,1,0
IVIA5235,1,1,2,1
IVIA5235,1,1,3,0
IVIA5235,1,1,4,0
IVIA5235,1,1,5,0
IVIA5235,1,1,6,0
IVIA5235,1,1,7,0
IVIA5235,1,1,8,0
IVIA5235,1,1,9,0
IVIA5235,2,1,1,0
IVIA5235,2,1,2,1
IVIA5235,2,1,3,1
IVIA5235,2,1,4,1
IVIA5235,2,1,5,1
IVIA5235,2,1,6,2
IVIA5235,2,1,7,2
IVIA5235,2,1,8,2
IVIA5235,2,1,9,2
IVIA5235,3,1,1,0
IVIA5235,3,1,2,0
IVIA5235,3,1,3,0
IVIA5235,3,1,4,0
IVIA5235,3,1,5,0
IVIA5235,3,1,6,1
IVIA5235,3,1,7,1
IVIA5235,3,1,8,1
IVIA5235,3,1,9,1
IVIA5235,4,1,1,0
IVIA5235,4,1,2,0
IVIA5235,4,1,3,0
IVIA5235,4,1,4,0
IVIA5235,4,1,5,0
IVIA5235,4,1,6,0
IVIA5235,4,1,7,0
IVIA5235,4,1,8,0
IVIA5235,4,1,9,0
IVIA5235,5,1,1,0
IVIA5235,5,1,2,0
IVIA5235,5,1,3,0
IVIA5235,5,1,4,0
IVIA5235,5,1,5,0
IVIA5235,5,1,6,0
IVIA5235,5,1,7,0
